r,npoints,integral,exact_integral,abs_error,rank
3,8,4.1632653061224483,3.0000000000000000,1.1632653061224483,2
4,16,3.5200000000000005,3.0000000000000000,0.5200000000000005,3
5,32,3.2466181061394366,3.0000000000000000,0.2466181061394366,3
6,64,3.1201814058956905,3.0000000000000000,0.1201814058956905,3
7,128,3.0593341186682372,3.0000000000000000,0.0593341186682372,3
8,256,3.0294809688581315,3.0000000000000000,0.0294809688581315,3
9,512,3.0146943371080837,3.0000000000000000,0.0146943371080837,3
10,1024,3.0073356782277414,3.0000000000000000,0.0073356782277414,3
