k_index,t_index,source_x_index,k,t,analytic_re,analytic_im,qtt_re,qtt_im,abs_error
1,39,33,-1.5750000000000002,0.6031746031746031,0.0000000000000000,0.0000000000000000,-0.0000000000000004,-0.0000000000000008,0.0000000000000009
1,40,33,-1.5750000000000002,0.6190476190476191,0.0000000000000000,0.0000000000000000,-0.0000000000000008,-0.0000000000000011,0.0000000000000013
1,41,33,-1.5750000000000002,0.6349206349206349,0.0000000000000000,0.0000000000000000,0.0000000000000005,0.0000000000000009,0.0000000000000010
1,42,33,-1.5750000000000002,0.6507936507936507,0.0000000000000000,0.0000000000000000,0.0000000000000001,0.0000000000000009,0.0000000000000009
1,43,33,-1.5750000000000002,0.6666666666666666,0.0000000000000000,0.0000000000000000,-0.0000000000000008,0.0000000000000008,0.0000000000000011
1,44,33,-1.5750000000000002,0.6825396825396826,0.0000000000000000,0.0000000000000000,-0.0000000000000015,0.0000000000000009,0.0000000000000018
1,45,33,-1.5750000000000002,0.6984126984126984,0.0000000000000000,0.0000000000000000,0.0000000000000004,0.0000000000000021,0.0000000000000022
1,46,33,-1.5750000000000002,0.7142857142857142,0.0000000000000000,0.0000000000000000,0.0000000000000003,0.0000000000000017,0.0000000000000018
1,47,33,-1.5750000000000002,0.7301587301587301,0.0000000000000000,0.0000000000000000,0.0000000000000001,0.0000000000000014,0.0000000000000014
1,48,33,-1.5750000000000002,0.7460317460317460,0.0000000000000000,0.0000000000000000,0.0000000000000001,0.0000000000000018,0.0000000000000018
1,49,33,-1.5750000000000002,0.7619047619047619,-0.0000000000000000,0.0000000000000000,-0.0000000000000001,0.0000000000000006,0.0000000000000007
1,50,33,-1.5750000000000002,0.7777777777777777,-0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000004,0.0000000000000004
1,51,33,-1.5750000000000002,0.7936507936507936,-0.0000000000000000,0.0000000000000000,0.0000000000000006,0.0000000000000003,0.0000000000000007
1,52,33,-1.5750000000000002,0.8095238095238095,-0.0000000000000000,0.0000000000000000,0.0000000000000011,0.0000000000000005,0.0000000000000012
1,53,33,-1.5750000000000002,0.8253968253968254,-0.0000000000000000,0.0000000000000000,-0.0000000000000005,-0.0000000000000018,0.0000000000000018
1,54,33,-1.5750000000000002,0.8412698412698412,-0.0000000000000000,0.0000000000000000,-0.0000000000000004,-0.0000000000000015,0.0000000000000016
1,55,33,-1.5750000000000002,0.8571428571428571,-0.0000000000000000,0.0000000000000000,0.0000000000000003,-0.0000000000000013,0.0000000000000013
1,56,33,-1.5750000000000002,0.8730158730158730,-0.0000000000000000,0.0000000000000000,0.0000000000000006,-0.0000000000000015,0.0000000000000016
1,57,33,-1.5750000000000002,0.8888888888888888,-0.0000000000000000,0.0000000000000000,-0.0000000000000003,-0.0000000000000018,0.0000000000000018
1,58,33,-1.5750000000000002,0.9047619047619047,-0.0000000000000000,0.0000000000000000,-0.0000000000000001,-0.0000000000000015,0.0000000000000015
1,59,33,-1.5750000000000002,0.9206349206349206,0.0000000000000000,0.0000000000000000,-0.0000000000000000,-0.0000000000000013,0.0000000000000013
