index,x,cosh_exact,cosh_qtt,factor_b_exact,factor_b_qtt,product_exact,product_raw,product_compressed,abs_error_raw,abs_error_compressed
1,0.0000000000000000,0.0000000000000000,-0.0000000000000000,0.0000000000000000,0.0000000000000001,0.0000000000000000,0.0000000000000004,0.0000000000000002,0.0000000000000004,0.0000000000000002
2,0.0078125000000000,0.0000610351562500,0.0000610351562500,0.0780455513899673,0.0780455513899674,0.0000047635224237,0.0000047635224232,0.0000047635224230,0.0000000000000005,0.0000000000000007
3,0.0156250000000000,0.0002441406250000,0.0002441406250000,0.1556149927735560,0.1556149927735561,0.0000379919415951,0.0000379919415950,0.0000379919415948,0.0000000000000001,0.0000000000000003
4,0.0234375000000000,0.0005493164062500,0.0005493164062500,0.2322351186115115,0.2322351186115115,0.0001275705607607,0.0001275705607606,0.0001275705607604,0.0000000000000001,0.0000000000000003
5,0.0312500000000000,0.0009765625000000,0.0009765625000000,0.3074385145803809,0.3074385145803809,0.0003002329243949,0.0003002329243948,0.0003002329243946,0.0000000000000001,0.0000000000000003
6,0.0390625000000000,0.0015258789062500,0.0015258789062500,0.3807664089923902,0.3807664089923901,0.0005810034316900,0.0005810034316899,0.0005810034316897,0.0000000000000002,0.0000000000000003
7,0.0468750000000000,0.0021972656250000,0.0021972656250000,0.4517714714916838,0.4517714714916837,0.0009926619246643,0.0009926619246642,0.0009926619246641,0.0000000000000001,0.0000000000000003
8,0.0546875000000000,0.0029907226562500,0.0029907226562500,0.5200205419537270,0.5200205419537268,0.0015552372165364,0.0015552372165363,0.0015552372165361,0.0000000000000002,0.0000000000000003
9,0.0625000000000000,0.0039062500000000,0.0039062500000000,0.5850972729404622,0.5850972729404621,0.0022855362224237,0.0022855362224236,0.0022855362224233,0.0000000000000001,0.0000000000000004
10,0.0703125000000000,0.0049438476562500,0.0049438476562500,0.6466046695911524,0.6466046695911523,0.0031967149802785,0.0031967149802784,0.0031967149802783,0.0000000000000001,0.0000000000000003
11,0.0781250000000000,0.0061035156250000,0.0061035156250000,0.7041675114545337,0.7041675114545335,0.0042978974087801,0.0042978974087800,0.0042978974087800,0.0000000000000001,0.0000000000000001
12,0.0859375000000000,0.0073852539062500,0.0073852539062500,0.7574346414881015,0.7574346414881014,0.0055938471447791,0.0055938471447790,0.0055938471447789,0.0000000000000001,0.0000000000000002
13,0.0937500000000000,0.0087890625000000,0.0087890625000000,0.8060811082606930,0.8060811082606930,0.0070846972405725,0.0070846972405724,0.0070846972405724,0.0000000000000001,0.0000000000000001
14,0.1015625000000000,0.0103149414062500,0.0103149414062500,0.8498101482900483,0.8498101482900482,0.0087657418860485,0.0087657418860484,0.0087657418860483,0.0000000000000001,0.0000000000000001
15,0.1093750000000000,0.0119628906250000,0.0119628906250000,0.8883549964222730,0.8883549964222728,0.0106272936583719,0.0106272936583718,0.0106272936583718,0.0000000000000001,0.0000000000000001
16,0.1171875000000000,0.0137329101562500,0.0137329101562500,0.9214805132091443,0.9214805132091441,0.0126546090986363,0.0126546090986362,0.0126546090986363,0.0000000000000001,0.0000000000000000
17,0.1250000000000000,0.0156250000000000,0.0156250000000000,0.9489846193555862,0.9489846193555860,0.0148278846774310,0.0148278846774309,0.0148278846774309,0.0000000000000001,0.0000000000000002
