x_index,xprime_index,x,xprime,difference,source_exact,source_qtt,source_abs_error,kernel_exact,kernel_mpo,abs_error
1,1,0,0,0,1.0000000000000000,1.0000000000000000,0.0000000000000000,1.0000000000000000,1.0000000000000000,0.0000000000000000
1,2,0,1,63,0.9904156785484942,0.9904156785484941,0.0000000000000001,0.9904156785484942,0.9904156785484941,0.0000000000000001
1,3,0,2,62,0.9622996029803551,0.9622996029803546,0.0000000000000006,0.9622996029803551,0.9622996029803546,0.0000000000000006
1,4,0,3,61,0.9174847425769703,0.9174847425769702,0.0000000000000001,0.9174847425769703,0.9174847425769702,0.0000000000000001
1,5,0,4,60,0.8587813453490811,0.8587813453490810,0.0000000000000001,0.8587813453490811,0.8587813453490810,0.0000000000000001
1,6,0,5,59,0.7896563159324302,0.7896563159324300,0.0000000000000002,0.7896563159324302,0.7896563159324300,0.0000000000000002
1,7,0,6,58,0.7138654531294831,0.7138654531294831,0.0000000000000000,0.7138654531294831,0.7138654531294831,0.0000000000000000
1,8,0,7,57,0.6350960108850805,0.6350960108850804,0.0000000000000001,0.6350960108850805,0.6350960108850804,0.0000000000000001
1,9,0,8,56,0.5566679050356917,0.5566679050356916,0.0000000000000001,0.5566679050356917,0.5566679050356916,0.0000000000000001
1,10,0,9,55,0.4813245811001608,0.4813245811001607,0.0000000000000001,0.4813245811001608,0.4813245811001607,0.0000000000000001
1,11,0,10,54,0.4111243588560451,0.4111243588560451,0.0000000000000001,0.4111243588560451,0.4111243588560451,0.0000000000000001
1,12,0,11,53,0.3474249785504976,0.3474249785504976,0.0000000000000000,0.3474249785504976,0.3474249785504976,0.0000000000000000
1,13,0,12,52,0.2909414789585544,0.2909414789585544,0.0000000000000001,0.2909414789585544,0.2909414789585544,0.0000000000000001
1,14,0,13,51,0.2418516770474219,0.2418516770474219,0.0000000000000001,0.2418516770474219,0.2418516770474219,0.0000000000000001
1,15,0,14,50,0.1999237258413385,0.1999237258413385,0.0000000000000000,0.1999237258413385,0.1999237258413385,0.0000000000000000
