index,x,exact,qtt,abs_error
1,-1.0000000000000000,1.0000000000000000,1.0000000000000002,0.0000000000000002
2,-0.9763779527559056,0.9533139066278133,0.9533139066278135,0.0000000000000001
3,-0.9527559055118110,0.9077438154876309,0.9077438154876309,0.0000000000000000
4,-0.9291338582677166,0.8632897265794531,0.8632897265794531,0.0000000000000000
5,-0.9055118110236220,0.8199516399032797,0.8199516399032799,0.0000000000000002
6,-0.8818897637795275,0.7777295554591109,0.7777295554591108,0.0000000000000001
7,-0.8582677165354331,0.7366234732469465,0.7366234732469463,0.0000000000000002
8,-0.8346456692913387,0.6966333932667866,0.6966333932667866,0.0000000000000000
9,-0.8110236220472441,0.6577593155186311,0.6577593155186311,0.0000000000000000
10,-0.7874015748031495,0.6200012400024799,0.6200012400024802,0.0000000000000003
11,-0.7637795275590551,0.5833591667183334,0.5833591667183338,0.0000000000000003
12,-0.7401574803149606,0.5478330956661913,0.5478330956661915,0.0000000000000002
13,-0.7165354330708662,0.5134230268460538,0.5134230268460538,0.0000000000000000
14,-0.6929133858267716,0.4801289602579205,0.4801289602579206,0.0000000000000001
15,-0.6692913385826772,0.4479508959017918,0.4479508959017917,0.0000000000000001
16,-0.6456692913385826,0.4168888337776675,0.4168888337776674,0.0000000000000001
17,-0.6220472440944882,0.3869427738855478,0.3869427738855478,0.0000000000000000
18,-0.5984251968503937,0.3581127162254325,0.3581127162254325,0.0000000000000000
19,-0.5748031496062992,0.3303986607973216,0.3303986607973216,0.0000000000000001
20,-0.5511811023622047,0.3038006076012152,0.3038006076012151,0.0000000000000002
21,-0.5275590551181102,0.2783185566371132,0.2783185566371131,0.0000000000000002
22,-0.5039370078740157,0.2539525079050158,0.2539525079050157,0.0000000000000001
23,-0.4803149606299213,0.2307024614049228,0.2307024614049227,0.0000000000000001
24,-0.4566929133858267,0.2085684171368342,0.2085684171368342,0.0000000000000000
25,-0.4330708661417323,0.1875503751007502,0.1875503751007502,0.0000000000000000
26,-0.4094488188976378,0.1676483352966706,0.1676483352966707,0.0000000000000001
27,-0.3858267716535433,0.1488622977245954,0.1488622977245956,0.0000000000000002
28,-0.3622047244094488,0.1311922623845248,0.1311922623845247,0.0000000000000001
29,-0.3385826771653544,0.1146382292764586,0.1146382292764584,0.0000000000000002
30,-0.3149606299212598,0.0992001984003968,0.0992001984003967,0.0000000000000001
31,-0.2913385826771654,0.0848781697563395,0.0848781697563395,0.0000000000000000
32,-0.2677165354330708,0.0716721433442867,0.0716721433442867,0.0000000000000000
33,-0.2440944881889764,0.0595821191642383,0.0595821191642384,0.0000000000000000
34,-0.2204724409448819,0.0486080972161945,0.0486080972161946,0.0000000000000002
35,-0.1968503937007874,0.0387500775001550,0.0387500775001552,0.0000000000000002
36,-0.1732283464566929,0.0300080600161200,0.0300080600161200,0.0000000000000000
37,-0.1496062992125984,0.0223820447640895,0.0223820447640895,0.0000000000000000
38,-0.1259842519685039,0.0158720317440635,0.0158720317440634,0.0000000000000001
39,-0.1023622047244095,0.0104780209560419,0.0104780209560419,0.0000000000000000
40,-0.0787401574803149,0.0062000124000248,0.0062000124000248,0.0000000000000000
41,-0.0551181102362205,0.0030380060760122,0.0030380060760121,0.0000000000000000
42,-0.0314960629921260,0.0009920019840040,0.0009920019840041,0.0000000000000001
43,-0.0078740157480315,0.0000620001240002,0.0000620001240004,0.0000000000000002
44,0.0157480314960630,0.0002480004960010,0.0002480004960009,0.0000000000000000
45,0.0393700787401574,0.0015500031000062,0.0015500031000061,0.0000000000000001
46,0.0629921259842519,0.0039680079360159,0.0039680079360158,0.0000000000000001
47,0.0866141732283465,0.0075020150040300,0.0075020150040300,0.0000000000000000
48,0.1102362204724410,0.0121520243040486,0.0121520243040486,0.0000000000000000
49,0.1338582677165354,0.0179180358360717,0.0179180358360717,0.0000000000000000
50,0.1574803149606299,0.0248000496000992,0.0248000496000994,0.0000000000000002
51,0.1811023622047243,0.0327980655961312,0.0327980655961315,0.0000000000000003
52,0.2047244094488190,0.0419120838241677,0.0419120838241677,0.0000000000000000
53,0.2283464566929134,0.0521421042842086,0.0521421042842086,0.0000000000000000
54,0.2519685039370079,0.0634881269762539,0.0634881269762539,0.0000000000000001
55,0.2755905511811023,0.0759501519003038,0.0759501519003038,0.0000000000000001
56,0.2992125984251968,0.0895281790563581,0.0895281790563580,0.0000000000000000
57,0.3228346456692912,0.1042222084444168,0.1042222084444168,0.0000000000000000
