case,index,x,exact,qtt,abs_error
single_scale_1d,1,-1.0000000000000000,0.3678794411714423,0.3678794411713743,0.0000000000000680
single_scale_1d,2,-0.9843750000000000,0.3794645341647085,0.3794645341647968,0.0000000000000883
single_scale_1d,3,-0.9687500000000000,0.3912233859783412,0.3912233859804748,0.0000000000021336
single_scale_1d,4,-0.9531250000000000,0.4031497227240500,0.4031497227280879,0.0000000000040379
single_scale_1d,5,-0.9375000000000000,0.4152368286818413,0.4152368286833563,0.0000000000015150
single_scale_1d,6,-0.9218750000000000,0.4274775461437875,0.4274775461402909,0.0000000000034966
single_scale_1d,7,-0.9062500000000000,0.4398642763478829,0.4398642763429061,0.0000000000049768
single_scale_1d,8,-0.8906250000000000,0.4523889815318864,0.4523889815256193,0.0000000000062672
single_scale_1d,9,-0.8750000000000000,0.4650431881340563,0.4650431881295509,0.0000000000045055
single_scale_1d,10,-0.8593750000000000,0.4778179911644942,0.4778179911625737,0.0000000000019205
single_scale_1d,11,-0.8437500000000000,0.4907040597674412,0.4907040597709161,0.0000000000034749
single_scale_1d,12,-0.8281250000000000,0.5036916439913174,0.5036916439967305,0.0000000000054131
single_scale_1d,13,-0.8125000000000000,0.5167705827795767,0.5167705827871650,0.0000000000075884
single_scale_1d,14,-0.7968750000000000,0.5299303131915846,0.5299303132011337,0.0000000000095491
single_scale_1d,15,-0.7812500000000000,0.5431598808587053,0.5431598808653435,0.0000000000066382
single_scale_1d,16,-0.7656250000000000,0.5564479516766548,0.5564479516807705,0.0000000000041157
single_scale_1d,17,-0.7500000000000000,0.5697828247309230,0.5697828247308686,0.0000000000000544
single_scale_1d,18,-0.7343750000000000,0.5831524464477202,0.5831524464434653,0.0000000000042549
single_scale_1d,19,-0.7187500000000000,0.5965444259584850,0.5965444259512417,0.0000000000072433
single_scale_1d,20,-0.7031250000000000,0.6099460516614994,0.6099460516505426,0.0000000000109568
single_scale_1d,21,-0.6875000000000000,0.6233443089596343,0.6233443089481393,0.0000000000114950
single_scale_1d,22,-0.6718750000000000,0.6367258991486957,0.6367258991396653,0.0000000000090304
single_scale_1d,23,-0.6562500000000000,0.6500772594262845,0.6500772594189153,0.0000000000073692
single_scale_1d,24,-0.6406250000000000,0.6633845839865529,0.6633845839834789,0.0000000000030740
single_scale_1d,25,-0.6250000000000000,0.6766338461617289,0.6766338461628982,0.0000000000011693
single_scale_1d,26,-0.6093750000000000,0.6898108215668460,0.6898108215725738,0.0000000000057278
single_scale_1d,27,-0.5937500000000000,0.7029011121997449,0.7029011122089786,0.0000000000092336
single_scale_1d,28,-0.5781250000000000,0.7158901714441513,0.7158901714564809,0.0000000000123296
single_scale_1d,29,-0.5625000000000000,0.7287633299194912,0.7287633299327727,0.0000000000132815
single_scale_1d,30,-0.5468750000000000,0.7415058221170969,0.7415058221287537,0.0000000000116568
single_scale_1d,31,-0.5312500000000000,0.7541028137586228,0.7541028137674273,0.0000000000088045
single_scale_1d,32,-0.5156250000000000,0.7665394298088249,0.7665394298138363,0.0000000000050113
