index,x,k,analytic_re,analytic_im,qtt_re,qtt_im,abs_error
1,0.0097751710654936,-25.5749999999999993,0.0000000000000000,0.0000000000000000,-0.0000000000002084,0.0000000000000303,0.0000000000002106
2,0.0293255131964809,-25.5250488281249979,0.0000000000000000,0.0000000000000000,-0.0000000000001984,0.0000000000000288,0.0000000000002004
3,0.0488758553274682,-25.4750976562500000,0.0000000000000000,0.0000000000000000,-0.0000000000001711,0.0000000000000249,0.0000000000001729
4,0.0684261974584555,-25.4251464843749986,0.0000000000000000,0.0000000000000000,-0.0000000000001338,0.0000000000000194,0.0000000000001352
5,0.0879765395894427,-25.3751953125000007,0.0000000000000000,0.0000000000000000,-0.0000000000000948,0.0000000000000138,0.0000000000000957
6,0.1075268817204300,-25.3252441406249993,0.0000000000000000,0.0000000000000000,-0.0000000000000608,0.0000000000000088,0.0000000000000615
7,0.1270772238514173,-25.2752929687499979,0.0000000000000000,0.0000000000000000,-0.0000000000000354,0.0000000000000051,0.0000000000000358
8,0.1466275659824046,-25.2253417968750000,0.0000000000000000,0.0000000000000000,-0.0000000000000187,0.0000000000000027,0.0000000000000188
9,0.1661779081133918,-25.1753906249999986,0.0000000000000000,0.0000000000000000,-0.0000000000000089,0.0000000000000013,0.0000000000000090
10,0.1857282502443791,-25.1254394531250007,0.0000000000000000,0.0000000000000000,-0.0000000000000039,0.0000000000000006,0.0000000000000039
11,0.2052785923753664,-25.0754882812499993,0.0000000000000000,0.0000000000000000,-0.0000000000000015,0.0000000000000002,0.0000000000000015
12,0.2248289345063537,-25.0255371093749979,0.0000000000000000,0.0000000000000000,-0.0000000000000005,0.0000000000000001,0.0000000000000005
13,0.2443792766373409,-24.9755859375000000,0.0000000000000000,0.0000000000000000,-0.0000000000000002,0.0000000000000000,0.0000000000000002
14,0.2639296187683282,-24.9256347656249986,0.0000000000000000,0.0000000000000000,-0.0000000000000001,0.0000000000000000,0.0000000000000001
15,0.2834799608993155,-24.8756835937500007,0.0000000000000000,0.0000000000000000,-0.0000000000000000,0.0000000000000000,0.0000000000000000
16,0.3030303030303028,-24.8257324218749993,0.0000000000000000,0.0000000000000000,-0.0000000000000000,0.0000000000000000,0.0000000000000000
17,0.3225806451612900,-24.7757812499999979,0.0000000000000000,0.0000000000000000,-0.0000000000000000,0.0000000000000000,0.0000000000000000
18,0.3421309872922773,-24.7258300781250000,0.0000000000000000,0.0000000000000000,-0.0000000000000000,0.0000000000000000,0.0000000000000000
