x_index,y_index,x,y,exact,interleaved_qtt,grouped_qtt,interleaved_abs_error,grouped_abs_error
1,1,-2.0000000000000000,-2.0000000000000000,-0.3463563791363881,-0.3463563791363883,-0.3463563791363881,0.0000000000000002,0.0000000000000000
1,2,-2.0000000000000000,-1.9687500000000000,-0.3225410447033795,-0.3225410447033796,-0.3225410447033795,0.0000000000000001,0.0000000000000000
1,3,-2.0000000000000000,-1.9375000000000000,-0.2984107544138276,-0.2984107544138278,-0.2984107544138275,0.0000000000000002,0.0000000000000001
1,4,-2.0000000000000000,-1.9062500000000000,-0.2739890710867024,-0.2739890710867025,-0.2739890710867024,0.0000000000000001,0.0000000000000000
1,5,-2.0000000000000000,-1.8750000000000000,-0.2492998420813304,-0.2492998420813304,-0.2492998420813304,0.0000000000000000,0.0000000000000000
1,6,-2.0000000000000000,-1.8437500000000000,-0.2243671760108522,-0.2243671760108523,-0.2243671760108522,0.0000000000000001,0.0000000000000001
1,7,-2.0000000000000000,-1.8125000000000000,-0.1992154192005716,-0.1992154192005716,-0.1992154192005716,0.0000000000000000,0.0000000000000000
1,8,-2.0000000000000000,-1.7812500000000000,-0.1738691319141816,-0.1738691319141817,-0.1738691319141816,0.0000000000000001,0.0000000000000000
1,9,-2.0000000000000000,-1.7500000000000000,-0.1483530643710841,-0.1483530643710841,-0.1483530643710841,0.0000000000000001,0.0000000000000000
1,10,-2.0000000000000000,-1.7187500000000000,-0.1226921325782201,-0.1226921325782201,-0.1226921325782201,0.0000000000000000,0.0000000000000000
1,11,-2.0000000000000000,-1.6875000000000000,-0.0969113940000125,-0.0969113940000125,-0.0969113940000124,0.0000000000000000,0.0000000000000000
1,12,-2.0000000000000000,-1.6562500000000000,-0.0710360230901766,-0.0710360230901766,-0.0710360230901766,0.0000000000000000,0.0000000000000000
1,13,-2.0000000000000000,-1.6250000000000000,-0.0450912867092939,-0.0450912867092939,-0.0450912867092938,0.0000000000000000,0.0000000000000000
1,14,-2.0000000000000000,-1.5937500000000000,-0.0191025194521509,-0.0191025194521509,-0.0191025194521509,0.0000000000000000,0.0000000000000000
1,15,-2.0000000000000000,-1.5625000000000000,0.0069049010910621,0.0069049010910620,0.0069049010910621,0.0000000000000000,0.0000000000000000
1,16,-2.0000000000000000,-1.5312500000000000,0.0329055791155377,0.0329055791155376,0.0329055791155377,0.0000000000000000,0.0000000000000000
1,17,-2.0000000000000000,-1.5000000000000000,0.0588741254004236,0.0588741254004238,0.0588741254004237,0.0000000000000002,0.0000000000000000
1,18,-2.0000000000000000,-1.4687500000000000,0.0847851821009660,0.0847851821009662,0.0847851821009660,0.0000000000000002,0.0000000000000000
1,19,-2.0000000000000000,-1.4375000000000000,0.1106134475100145,0.1106134475100147,0.1106134475100145,0.0000000000000002,0.0000000000000000
