x_index,y_index,x,y,exact,qtt,abs_error
1,1,-1.0000000000000000,-1.0000000000000000,0.4901960784313725,0.4901960784314691,0.0000000000000966
1,2,-1.0000000000000000,-0.9687500000000000,0.5054393966317202,0.5054393964913679,0.0000000001403523
1,3,-1.0000000000000000,-0.9375000000000000,0.5211302011236870,0.5211302010669674,0.0000000000567196
1,4,-1.0000000000000000,-0.9062500000000000,0.5372620621628995,0.5372620625076715,0.0000000003447720
1,5,-1.0000000000000000,-0.8750000000000000,0.5538248528902734,0.5538248532255556,0.0000000003352822
1,6,-1.0000000000000000,-0.8437500000000000,0.5708042542754577,0.5708042540762007,0.0000000001992569
1,7,-1.0000000000000000,-0.8125000000000000,0.5881812333425237,0.5881812326114039,0.0000000007311198
1,8,-1.0000000000000000,-0.7812500000000000,0.6059315013373098,0.6059315006413957,0.0000000006959141
1,9,-1.0000000000000000,-0.7500000000000000,0.6240249609984400,0.6240249609985276,0.0000000000000876
1,10,-1.0000000000000000,-0.7187500000000000,0.6424251549599739,0.6424251558695216,0.0000000009095478
1,11,-1.0000000000000000,-0.6875000000000000,0.6610887305030472,0.6610887318741407,0.0000000013710936
1,12,-1.0000000000000000,-0.6562500000000000,0.6799649393078169,0.6799649402731023,0.0000000009652854
1,13,-1.0000000000000000,-0.6250000000000000,0.6989951944080385,0.6989951942195155,0.0000000001885230
1,14,-1.0000000000000000,-0.5937500000000000,0.7181127100339421,0.7181127085666835,0.0000000014672585
1,15,-1.0000000000000000,-0.5625000000000000,0.7372422531966363,0.7372422511135853,0.0000000020830510
1,16,-1.0000000000000000,-0.5312500000000000,0.7563000384058614,0.7563000368585640,0.0000000015472974
1,17,-1.0000000000000000,-0.5000000000000000,0.7751937984496123,0.7751937984496469,0.0000000000000345
1,18,-1.0000000000000000,-0.4687500000000000,0.7938230642810630,0.7938230660688229,0.0000000017877599
1,19,-1.0000000000000000,-0.4375000000000000,0.8120796853191219,0.8120796881007670,0.0000000027816451
1,20,-1.0000000000000000,-0.4062500000000000,0.8298486174592369,0.8298486197248912,0.0000000022656543
1,21,-1.0000000000000000,-0.3750000000000000,0.8470089994706194,0.8470089998076665,0.0000000003370472
1,22,-1.0000000000000000,-0.3437500000000000,0.8634355290229012,0.8634355270233658,0.0000000019995354
1,23,-1.0000000000000000,-0.3125000000000000,0.8790001373437715,0.8790001340469468,0.0000000032968247
1,24,-1.0000000000000000,-0.2812500000000000,0.8935739467346155,0.8935739441900132,0.0000000025446023
1,25,-1.0000000000000000,-0.2500000000000000,0.9070294784580498,0.9070294784580167,0.0000000000000331
1,26,-1.0000000000000000,-0.2187500000000000,0.9192430607921289,0.9192430634525649,0.0000000026604360
1,27,-1.0000000000000000,-0.1875000000000000,0.9300973695683766,0.9300973728569791,0.0000000032886025
1,28,-1.0000000000000000,-0.1562500000000000,0.9394840177621196,0.9394840188231354,0.0000000010610157
1,29,-1.0000000000000000,-0.1250000000000000,0.9473060982830077,0.9473060961537410,0.0000000021292668
1,30,-1.0000000000000000,-0.0937500000000000,0.9534805765577861,0.9534805739175268,0.0000000026402592
1,31,-1.0000000000000000,-0.0625000000000000,0.9579404280796288,0.9579404286110728,0.0000000005314440
